acc. date,type,reg.,operator,fat.,location,dmg
12-Oct-17,Embraer EMB-120ER Brasilia,D2-FDO,Guicango,7,119 km SW of Dundo,w/o
17-Jun-17,de Havilland Canada DHC-6 Twin Otter 300,D2-EVA,SJL Aeronáutica,0,Nancova Airstrip,sub
30-Apr-17,Boeing 737-7M2 (WL),D2-TBF,TAAG Angola Airlines,0,Soyo Airport (SZA),sub
14-Feb-15,Antonov An-32B,T-256,Força Aérea Nacional Angolana - FANA,0,Malange Airport (MEG),w/o
25-Feb-14,Embraer EMB-120RT Brasilia,D2-FFZ,Guicango,0,near Lukapa Airport (LBZ),sub
26-Nov-11,Gulfstream American G-1159 Gulfstream II,N811DE,Wings Over Africa,0,Huambo Airport (NOV),sub
14-Sep-11,Embraer EMB-120ER Brasilia,T-500,Força Aérea Nacional Angolana - FANA,17,Huambo Airport (NOV),w/o
21-May-10,Beechcraft 200 Super King Air,D2-FFT,Grupo Chicoil,3,near Caxito,mis
31-Jan-10,Yakovlev Yak-40,D2-FES,Guicango,0,Luanda-4 de Fevereiro Airport (LAD),sub
27-Aug-09,Ilyuhsin Il-76TD,T-906,Força Aérea Popular de Angola,0,Luanda-4 de Fevereiro Airport (LAD),w/o
29-Sep-08,Antonov An-12BK,T-311,Força Aérea Popular de Angola,0,Luanda Airport (LAD),sub
19-Jan-08,Beechcraft B200 Super King Air,D2-FFK,Gira Globo,13,near Bailundo,w/o
28-Jun-07,Boeing 737-2M2,D2-TBP,TAAG Angola Airlines,5+1,M'Banza Congo Airport (SSY),w/o
8-Aug-05,Antonov An-12BP,T-300,Força Aérea Popular de Angola,0,Luena Airport (LUO),w/o
27-Jan-04,Ilyushin Il-18D,ER-ICJ,Renan,0,Luena Airport (LUO),w/o
21-Nov-03,Hawker Siddeley HS-125-403B,D2-EXR,Intertransit,0,Luanda-4 de Fevereiro Airport (LAD),sub
16-May-03,Antonov An-12BK,T-307,Força Aérea Popular de Angola,4,near Menongue,w/o
unk. date 2002,Antonov An-12A,D2-FBV,Unknown,,Nzagi Airport (NZA),w/o
15-Sep-02,Ilyushin Il-18V,EX-904,Phoenix Aviation,0,Nzagi Airport (NZA),w/o
2-Apr-02,Antonov An-32,ER-AEQ,Renan,0,Cafunfo Airport (CFF),w/o
27-Jan-02,Antonov An-12,T-304,Força Aérea Popular de Angola,5,near Luena,w/o
11-Dec-01,Antonov An-32,D2-FEO,Air Nave,0,Luzamba Airport (LZM),w/o
8-Jun-01,Boeing 727-90C,S9-BOG,Transafrik,0,18 km from Luena,sub
10-May-01,Boeing 727-44F,D2-FCK,Angola Air Charter,0,Nzagi Airport (NZA),sub
4-Apr-01,Antonov An-32,D2-FDP,Associação dos Pilotos de Angola,0,near Malange Airport (MEG),w/o
17-Mar-01,Beechcraft 1900C-1,S9-CAE,SAL Express - Sociedade de Aviação Ligeira,16,Quilemba,w/o
19-Feb-01,Antonov An-26,T-225,Força Aérea Popular de Angola,0,Luena Airport (LUO),sub
1-Feb-01,Antonov An-26,T-224,Força Aérea Popular de Angola,0,Luena Airport (LUO),w/o
8-Jan-01,Boeing 727-23F,D2-FOO,Air Gemini Cargo,0,Luanda Airport (LAD),w/o
5-Jan-01,Boeing 727-46F,S9-BAI,Air Gemini Cargo,0+1,Dundo Airport (DUE),w/o
15-Nov-00,Antonov An-24RV,D2-FCG,ASA Pesada,57,5 km E of Luanda-4 de Fevereiro Airport (LAD),w/o
31-Oct-00,Antonov An-26,D2-FDI,ACA-Ancargo Air,49,near Mona Quimbundo,w/o
6-Oct-00,Antonov An-72,TL-ACW,Centrafrican Airlines,0,Luzamba Airport (LZM),w/o
25-Mar-00,Antonov An-32B,D2-MAJ,Angolan Government,3,Huambo Airport (NOV),w/o
12-Feb-00,Boeing 727-82,S9-NAZ,Transafrik,0,Luanda-4 de Fevereiro Airport (LAD),w/o
7-Jan-00,Antonov An-26,D2-FBR,Unknown,,,mis
28-Dec-99,Lockheed L-100-30 Hercules,S9-BOP,Transafrik,0,Luzamba Airport (LZM),w/o
20-Nov-99,Reims Cessna F406 Caravan II,D2-ECQ,SAL - Sociedade de Aviaçao Ligeira,0,Benguela-Gen V Deslandes Airport (BUG),unk
12-Nov-99,Antonov An-12B,D2-FRK,Unknown,0,Lukapa Airport (LBZ),w/o
1-Jul-99,Antonov An-12B,TN-AFR,Savanair (Angola),1,Luzamba,w/o
12-May-99,Antonov An-26,D2-FBN,"Avita Servicos Aéreos, lsf Volga Atlantic Airlines",0,30 km from Luzamba,w/o
4-Feb-99,Antonov An-26,EL-ANZ,"Air-Angol Sociedad Aeronautica, lsf Santa Cruz Imperial",0,Luzamba Airport (LZM),w/o
2-Feb-99,Antonov An-12,EY-ASS,"Savanair (Angola), lsf Santa Cruz Imperial",11+13,ca 6 km E of Luanda-4 de Fevereiro Airport (LAD),w/o
20-Jan-99,Antonov An-12B,S9-CAN,Unknown,0,Lukapa Airport (LBZ),w/o
2-Jan-99,Lockheed L-100-30 Hercules,D2-EHD,"Transafrik, opf United Nations - UN",9,80 km N of Huambo,sub
27-Dec-98,Antonov An-12,TN-AFJ,ACA-Ancargo Air,4,near Cafunfo,w/o
26-Dec-98,Lockheed L-100-30 Hercules,S9-CAO,"United Nations - UN, opb Transafrik",14,Vila Nova,w/o
17-Dec-98,Antonov An-12BP,S9-CAT,Zanex,1,Saurimo Airport (VHC),w/o
14-Dec-98,Antonov An-12BP,UR-11319,Khors Air,10,near Kuito,w/o
2-Sep-98,Antonov An-26B,RA-26028,"Prestavia, lsf Permtransavia",24,near Malanje Airport (MEG),w/o
26-Aug-98,Antonov An-12BP,EW-11368,Techaviaservice,13,80 km from Luanda,w/o
11-Aug-98,Antonov An-12,D2-FAZ,Alada Empresa de Transportes Aereos,1,Saurimo Airport (VHC),w/o
11-May-98,Antonov An-12B,RA-12973,Tyumenaviatrans,0,Luanda-4 de Fevereiro Airport (LAD),w/o
21-Oct-97,Douglas DC-3A,ZS-JMP,unknown,0,near Jamba,w/o
19-Aug-97,Boeing 727-23F,D2-TJC,Angola Air Charter,0,Lukapa Airport (LBZ),w/o
28-May-97,Beechcraft 200 Super King Air,D2-ECL,SAL - Sociedade de Aviaçao Ligeira,0,20 km N of Luanda Airport (LAD),sub
12-Mar-97,Antonov An-12BP,RA-11531,Alada Empresa de Transportes Aereos,16,Lukapa Airport (LBZ),w/o
2-Feb-97,CASA C-212 Aviocar 200,T-400,Força Aérea Popular de Angola,37,near Quibaxe,w/o
6-Oct-96,Antonov An-12B,RA-11101,"Savanair (Angola), lsf GosNII GA",6+1,Lukapa Airport (LBZ),w/o
7-Aug-96,Douglas DC-6A,9Q-CJR,Transair Cargo,0,Luzamba Airport (LZM),w/o
24-Jun-96,Antonov An-26B,UR-26197,Air Nacoia,4,Cafunfo Airport (CFF),w/o
27-Feb-96,Antonov An-12BP,ER-ACE,Aero Tropical,8,35 km from Lukapa,w/o
4-Feb-96,Antonov An-32B,UR-48008,Ukraine Air Alliance,0,Luremo Airstrip,sub
18-Dec-95,Lockheed L-188C Electra,9Q-CRR,Trans Service Airlift,141,"near Cahungula, Lunda Norte",w/o
22-Nov-95,Antonov An-12TB,RA-11008,"United Nations - UN, lsf KIT Space & Transport Air",0,Huambo Airport (NOV),w/o
21-Oct-95,Beechcraft 200 Super King Air,ZS-MGR,"United Nations WFP, lsf Balmoral Air Service",5,near Marunga,w/o
17-Jun-95,CASA C-212 Aviocar 200,T-401,Força Aérea Popular de Angola,48,15 km E of Catumbela Airport (CBT),w/o
9-May-95,Antonov An-12B,RA-11127,Pulkovo Aviation Enterprise,0,Lukapa Airport (LBZ),w/o
31-Jan-95,Boeing 727-21F,D2-TJB,Angola Air Charter,0,Huambo Airport (NOV),w/o
28-Jan-95,Beechcraft 200 Super King Air,D2-ECH,SAL - Sociedade de Aviaçao Ligeira,2,near Cafunfo Airport (CFF),w/o
16-Jan-95,Antonov An-26,,Força Aérea Popular de Angola,6,North Angola,w/o
15-Dec-94,Basler BT-67 Turbo 67 (DC-3T),N96BF,SL Aviation Services,2,Lobito Airport,w/o
6-Dec-94,Antonov An-8,D2-FVA,Von Haaf Air,0,Dundo Airport (DUE),w/o
12-Nov-94,Beechcraft 200 Super King Air,D2-EOJ,Endiama,0,Huambo-Albano Machado Airport (NOV),w/o
xx Jul 1994,Lockheed L-188PF Electra,9Q-CGD,Filair,,,w/o
19-Jul-94,Ilyushin Il-76,,Soviet Air Force,,Luanda ??,w/o
27-Apr-94,Boeing 727-44F,S9-TAN,Transafrik,0+7,M'Banza Congo Airport (SSY),w/o
7-Apr-94,Lockheed L-100-30 Hercules,D2-THC,Angola Air Charter,0,Malange Airport (MEG),w/o
16-Mar-94,IRMA/Pilatus Britten-Norman BN-2A-21 Islander,D2-ECE,Mavewa Táxi Aéreo,0,16 km from Cabinda,w/o
26-Apr-93,Antonov An-12B,CCCP-11121,United Nations - UN,1,near Luena,w/o
23-Jan-93,Lockheed L-100-30 Hercules,D2-EHD,"Transafrik, opf Endiama",0,near Luena Airport (LUO),sub
31-Aug-92,Aero Modifications AMI DC-3-65TP,ZS-DHX,Professional Aviation Services,3,Jamba Airport (JMB),w/o
20-Feb-92,Boeing 707-349C,D2-TOJ,TAAG Angola Airlines,0,Luanda-4 de Fevereiro Airport (LAD),w/o
3-Oct-91,Antonov An-12BP,CCCP-11120,"Aeroflot, International Civil Aviation Directorate",0,Cazombo Airport (CAV),w/o
10-Jun-91,Lockheed C-130A Hercules,J6-SLQ,"Angola Air Charter, lsf Carib Air Transport",10,Luanda-4 de Fevereiro Airport (LAD),w/o
29-Mar-91,de Havilland Canada DHC-6 Twin Otter 300,HB-LOM,"International Red Cross, lsf Zimex Aviation",0,near Kuito,sub
16-Mar-91,Lockheed L-100-30 Hercules,CP-1564,"Transafrik, lsf Transporte Aéreo Boliviano - TAB",9,32 km from Malanje,w/o
22-Feb-91,Antonov An-26,,Força Aérea Popular de Angola,47,near Cazombo,w/o
unk. date 1990,de Havilland Canada DHC-6 Twin Otter 300,HB-LQX,Zimex Aviation,,unknown,w/o
27-Mar-90,CASA C-212-M Aviocar 300,T-410,Angolan Government,25,30 km from Kuito,w/o
5-Jan-90,Lockheed L-100-30 Hercules,D2-THB,Angola Air Charter,0,Menongue Airport (SPP),w/o
27-Nov-89,Lockheed L-100-20 Hercules,N9205T,Tepper Aviation Inc,5,near Jamba Airport (JMB),w/o
23-Jul-89,Antonov An-26,,Força Aérea Popular de Angola,42,Chana,w/o
8-Apr-89,Lockheed L-100-20 Hercules,S9-NAI,Transafrik,0,near Luena Airport (LUO),w/o
10-Mar-89,Antonov An-26,,Força Aérea Popular de Angola,5,Cazombo,w/o
xx Feb 1989,Lockheed L-100-30 Hercules,D2-EHD,"Transafrik, opf Endiama",0,near Luena Airport (LUO),sub
10-Oct-88,Boeing 707-347C,D2-TOM,TAAG Angola Airlines,0,Luanda,w/o
7-Aug-88,British Aerospace BAe-125-800A,OK-1,Botswana Government,0,near Cutio Bie,sub
27-Apr-88,Antonov An-26,T-237,Fuerza Aérea Revolucionaria,29,near Techamutete,w/o
8-Feb-88,Boeing 707-349C,D2-TOI,TAAG Angola Airlines,0,Luanda-4 de Fevereiro Airport (LAD),w/o
2-Feb-08,Pilatus Britten-Norman BN-2A-26 Islander,VP-AAG,"Air Montserrat, lsf Trans Anguilla Airways",0,Anguilla-Wallblake Airport (AXA),w/o
19-Nov-99,Pilatus Britten-Norman BN-2A-26 Islander,N907VL,Vieques Air Link,0,Anguilla-Wallblake Airport (AXA),w/o
17-Aug-15,Beechcraft 99 Airliner,N128SF,Hummingbird Air,0,"Codrington Airport, Barbuda (BBQ)",sub
7-Oct-12,Britten-Norman BN-2A-26 Islander,VP-MON,FlyMontserrat,3,Antigua-V.C. Bird International Airport (ANU),w/o
10-Jun-12,de Havilland Canada DHC-8-311,V2-LGH,Leeward Islands Air Transport - LIAT,0,Antigua-Coolidge International Airport (ANU),w/o
6-Feb-97,Airbus A300B4-605R,N41063,American Airlines,0,Antigua-V.C. Bird International Airport (ANU),sub
24-Jul-84,Britten-Norman BN-2A Mk III-2 Trislander,VP-LMB,Leeward Islands Air Transport - LIAT,0,Coolidge Airport,non
26-Feb-67,de Havilland Canada DHC-6 Twin Otter 100,VP-LIR,Leeward Islands Air Transport - LIAT,0,"Codrington Airstrip, Barbuda (TAPH)",sub
18-Dec-24,Bombardier BD-100-1A10 Challenger 300,LV-GOK,"New Lines, S.A.",2,"near San Fernando Airport (SADF), San Fernando, BA",w/o
7-Jun-24,Fairchild SA227-AC Metro III,LV-VDJ,Dos Mil Aerosistema,0,"Río Gallegos International Airport, SC (RGL/SAWG)",sub
5-Jan-24,Boeing 737-8Q8 (WL),LV-KJE,Flybondi,0,"Mar del Plata-Astor Piazzolla International Airport, BA (MDQ/SAZM)",sub
21-Apr-23,Beechcraft 200 Super King Air,LV-WPM,Flytec SA,0,"Salta-Martín Miguel de Güemes International Airport, SA (SLA)",sub
16-Feb-23,Cessna 208 Cargomaster,CX-MAX,Aeromás,0,"near Berisso, BA",w/o
1-Jul-22,Learjet 35A,LV-BPA,Flying America SA,4,"Río Grande-Gobernador Ramón Trejo Noel International Airport, TF (RGA)",w/o
11-Feb-22,Cessna 501 Citation I/SP,LV-JUO,Aviajet SA,0,"Morón-Ituzaingo Airport, BA",sub
5-Nov-20,Fairchild SA227-AC Metro III,LV-VDJ,Dos Mil Aerosistema,0,"Mendoza-El Plumerillo Airport, MD (MDZ)",sub
5-May-20,Learjet 35A,LV-BXU,MD Fly,3,"near Esquel Airport, CB (EQS)",w/o
4-May-20,Learjet 25D,LV-WOC,Dos Mil Aerosistema SA,0,"San Fernando Airport, BA (FDO)",sub
29-Dec-19,Cessna 560XL Citation XLS,LV-FQD,Sunny Sky,0,"6 km from Otamendi, BA",sub
17-Jun-19,Cessna 680 Citation Sovereign,LV-CIQ,Banco Macro,0,"Joaquín V. González-Agropecuaria Río Juramento Airstrip, SA",sub
7-Mar-19,Learjet 35A,LV-BNR,Baires Fly,0,"Buenos Aires-Jorge Newbery Airport, BA (AEP)",sub
16-Jul-18,Boeing 737-8F2 (WL),LV-HQY,Flybondi,0,"Cataratas del Iguazú-M.C.E. Krause Airport, MI (IGR)",sub
17-Jul-17,Beechcraft B200 King Air,LV-ZTV,Aero Baires,0,"San Carlos de Bariloche International Airport, RN (BRC)",sub
10-Nov-16,McDonnell Douglas MD-11F,D-ALCM,Lufthansa Cargo,0,"Buenos Aires/Ezeiza-Ministro Pistarini Airport, BA (EZE)",sub
22-Mar-16,Swearingen SA226-TC Metro II,LV-ZEB,CEDMA Aviación,0,"Río Grande Airport, TF (RGA)",sub
28-Jan-16,Swearingen SA227-AC Metro III,LV-BGR,Milenium Air,0,"San Fernando, BA",non
12-Dec-15,Boeing 777-223ER,N784AN,American Airlines,0,"ca 250 nm W of Buenos Aires, BA",non
19-Oct-15,Learjet 35A,LV-ZSZ,Top Air SA,0,"San Fernando Airport, BA",w/o
3-Oct-14,Boeing 777-223ER,N772AN,American Airlines,0,"Ministro Pistarini -Ezeiza (SAEZ), BA",min
14-Sep-14,Beechcraft 300LW Super King Air,LV-WLT,Tango Jet,2,"Nordelta, BA",w/o
10-May-14,Boeing 737-7Q8,LV-CPH,Aerolineas Argentinas,0,"Aeroparque Jorge Newbery (SABE), BA",min
10-Mar-14,Learjet 35A,LV-ZSZ,Top Air,0,"San Fernando, BA",sub
15-Nov-13,Embraer ERJ 190-100 IGW (ERJ-190AR),LV-CKZ,Austral Lineas Aéreas,0,"Buenos Aires/Ezeiza-Ministro Pistarini Airport, BA (EZE)",sub
7-Nov-13,Embraer ERJ 190-100 IGW (ERJ-190AR),LV-CIE,Austral Lineas Aéreas,0,"Buenos Aires-Jorge Newbery Airport, BA (AEP)",min
7-Nov-13,Boeing 737-7Q8 (WL),LV-CYO,Aerolineas Argentinas,0,"Buenos Aires-Jorge Newbery Airport, BA (AEP)",min
11-Feb-13,McDonnell Douglas MD-83,LV-AYD,Andes Líneas Aéreas,0,"Salta-Martín Miguel de Güemes International Airport, SA (SLA)",unk
2-Jan-13,Saab 340A,LV-BMD,SOL Líneas Aéreas,0,"Mendoza-El Plumerillo Airport, MD (MDZ)",sub
21-Dec-12,Embraer ERJ-190AR,LV-CHS,Austral Lineas Aéreas,0,"Bahia Blanca, BA",min
21-Nov-12,Boeing 737-230 Advanced,CC-CTH,Sky Airline,0,over province of Mendoza,sub
4-Jul-12,Rockwell Sabreliner 75A,AE-175,Ejército Argentino,0,"El Palomar Airport, BA",sub
18-May-11,Saab 340A,LV-CEJ,SOL Líneas Aéreas,22,"20 km N of Prahuaniyeu, RN",w/o
14-Apr-11,Fairchild SA227-AC Metro III,LV-WTE,Baires Fly,0,"Cercanías a Río Gallegos, SC",min
7-Dec-10,Dassault Falcon 20F-5B,LV-BIY,La Estrella S.A. Compañía de Seguros de Retiro,0,"San Fernando Airport, BA (FDO)",sub
24-Oct-10,Antonov An-2T,CX-CAP,Paracaidismo Casares,0,"1 km SW of Santa Isabel, PA",w/o
23-May-10,Learjet 60,LV-CCO,BairesFly,0,Aeroparque Jorge Newbery (AEP / SABE),min
6-Nov-09,Boeing 737-53A,LV-BIM,Aerolineas Argentinas,0,"Buenos Aires/Ezeiza-Ministro Pistarini Airport, BA (EZE/SAEZ)",min
4-Sep-09,Cessna 208B Grand Caravan,LV-WYR,"Dirección Provincial de Aeronáutica, Corrientes",0,"Resistencia (SARE), CH",min
17-Jun-09,Airbus A320-233,LV-BET,LAN Argentina,0,"Buenos Aires/Ezeiza Airport, BA (SAEZ)",min
4-Apr-08,de Havilland Canada DHC-6 Twin Otter 200,T-84,Fuerza Aérea Argentina - FAA,0,"10 km from Comodoro Rivadavia Airport, CB (CRD)",sub
7-Dec-07,Embraer EMB-110P2 Bandeirante,CX-MAS,Aeromás,0,"Ministro Pistarini -Ezeiza (SAEZ), BA",min
11-Oct-07,Learjet 35,LV-ZZF,Baires Fly,0,"Sauce Viejo, SF",min
23-May-07,Fairchild SA227-AC Metro III,CX-CLS,Air Class Líneas Aéreas,0,"Ministro Pistarini -Ezeiza (SAEZ), BA",sub
20-Apr-07,Boeing 767-332ER,N183DN,Delta Air Lines,0,"Buenos Aires/Ezeiza-Ministro Pistarini Airport, BA (EZE/SAEZ)",min
15-Dec-06,Swearingen SA227-AC Metro III,LV-WRA,Baires Fly,0,"Buenos Aires/Ezeiza-Ministro Pistarini Airport, BA (EZE)",sub
19-Oct-06,Beechcraft 200T Super King Air,AU-871,Aviación Naval Uruguaya,0,"Bahía Blanca-Comandante Espora Airport, BA (BHI)",sub
10-Sep-06,Grumman G-159 Gulfstream I,PT-KYF,,0,"San Fernando, BA",sub
28-Aug-06,GAF Nomad N.22B,ZP-TDZ,Paraguay Air Services,0,"3 km S of Salta-Martín Miguel de Güemes International Airport, SA (SLA)",sub
16-Mar-06,Boeing 737-230,LV-BBI,LAN Argentina,0,"En vuelo, durante el asenso través FL 130, TMA Ezeiza",sub
16-Mar-06,Learjet 35A,LV-BAW,Baires Fly SA,0,"San Fernando Airport, BA",min
16-Oct-05,Boeing 737-228 Adv,LV-ZYI,Austral Lineas Aéreas,0,"Calafate, SC",min
15-Jul-05,Boeing 737-228 Adv.,LV-ZXV,Aerolineas Argentinas,0,"Islas Malvinas - Rosario (SAAR), SF",min
23-Apr-05,McDonnell Douglas MD-11,PP-VQG,Varig,0,"Ministro Pistarini -Ezeiza (SAEZ), BA",min
22-Jan-05,IAI Arava 102,LV-MHP,,0,"La Rioja, LR",min
20-Feb-04,McDonnell Douglas DC-9-81 (MD-81),LV-WPY,Austral Lineas Aéreas,0,"Buenos Aires/Ezeiza-Ministro Pistarini Airport, BA (EZE)",min
28-Nov-03,Boeing 747-287B,LV-OOZ,Aerolineas Argentinas,0,"Buenos Aires/Ezeiza Airport, BA (SAEZ)",min
26-Oct-03,Fairchild FH-227B,LV-MGV,CATA Linea Aérea,5,"5 km SSE of Buenos Aires/Ezeiza-Ministro Pistarini Airport, BA (EZE)",w/o
11-Aug-03,Boeing 737-228 Adv,LV-ZXP,Aerolineas Argentinas,0,"Buenos Aires-Jorge Newbery Airport, BA (AEP/SABE)",min
6-Jul-03,Boeing 737-236,LV-ZTY,Aerolineas Argentinas,0,"Córdoba Airport, CD",min
27-Apr-03,Boeing 737-281 Adv,LV-WTX,Aerolineas Argentinas,0,"Jujuy Airport, PJ",min
20-Jan-03,British Aerospace Jetstream 32EP,LV-ZST,Aerovip,0,"Buenos Aires-Jorge Newbery Airport, BA (AEP/SABE)",min
20-Oct-02,Boeing 767-3Q8ER,TF-ARA,Southern Winds Lineas Aereas,0,"Buenos Aires/Ezeiza-Ministro Pistarini Airport, BA (EZE/SAEZ)",min
5-Aug-02,Boeing 777-223ER,N759AN,American Airlines,0,"Buenos Aires/Ezeiza Airport, BA (SAEZ)",min
5-Aug-02,Fairchild FH-227B,LV-MGV,CATA Linea Aérea,0,"Buenos Aires/Ezeiza Airport, BA (SAEZ)",sub
19-Jun-02,Boeing 737-236 Adv,LV-ZSW,Aerolineas Argentinas,0,"Comodoro Rivadavia Airport, CB",sub
26-May-02,Boeing 737-204,OB-1723,Aero Continente,0,"20 NM posición ALBAL, MD",min
17-Feb-02,Boeing 737-236,LV-ZRE,Aerolineas Argentinas,0,"San Juan, SJ",sub
2-Jan-02,Swearingen SA227-AC Metro III,LV-WRA,Baires Fly,0,"Río Gallegos Airport, SC",sub
27-Nov-01,Swearingen SA226-TC Metro II,LV-WSD,Aerocassa,0,"Bahía Blanca-Comandante Espora Airport, BA (BHI)",w/o
18-Oct-01,Swearingen SA226-AT Merlin IVA,LV-WNC,"Hawk Air, S.A.",0,"Bahía Blanca-Comandante Espora Airport, BA (BHI)",sub
7-Sep-01,Boeing 767-332ER (WL),N194DN,Delta Air Lines,0,"Ministro Pistarini -Ezeiza (SAEZ), BA",non
17-Jul-01,Boeing 767-375ER,CC-CRH,LAN Chile,0,"Ezeiza, BA",non
17-May-01,Fokker F-27 Friendship 400M,TC-76,Fuerza Aérea Argentina - FAA,5,"Mendoza-El Plumerillo Airport, MD (MDZ)",w/o
28-Apr-01,Cessna 208B Grand Caravan,LV-WSC,Les Grands Jorasses,10,"12 km from Roque Pérez, BA",w/o
9-Jan-01,Boeing 727-287,CP-2323,Lloyd Aéreo Boliviano - LAB,0,"Buenos Aires/Ezeiza-Ministro Pistarini Airport, BA (EZE)",w/o
29-Dec-00,Boeing 737-212,LV-WRO,Aerolineas Argentinas,0,Aeropuerto Internacional Salta,sub
22-Nov-00,Embraer EMB-110P2 Bandeirante,CX-MAS,Aeromás,0,"Ministro Pistarini -Ezeiza (SAEZ), BA",min
25-Aug-00,Swearingen SA226-TC Metro II,LV-WXW,"Hawk Air, S.A.",0,"Rosario-Islas Malvinas International Airport, SF (ROS)",sub
14-Aug-00,Fokker F-28 Fellowship 1000,LV-WZC,American Falcon,0,"Buenos Aires/Ezeiza-Ministro Pistarini Airport, BA (EZE/SAEZ)",min
11-Aug-00,Beechcraft B100 King Air,LV-WDO,Navi Jet,0,"General Acha, LP",sub
9-May-00,Swearingen SA227-AC Metro III,LV-YIC,Flying America SA,0,"Rosario International Airport, SF (ROS/SAAR)",sub
8-Apr-00,Swearingen SA227-AC Metro III,LV-ZMG,Baires Fly,0,"Córdoba Airport, CD",min
1-Apr-00,Cessna 208A Caravan 675,LV-ZSR,Taxval,1,"near Gualeguaychú, ER",w/o
11-Feb-00,Swearingen SA226-TC Metro II,LQ-MLV,Ministerio de Salud y Acción Social,0,"Buenos Aires-Aeroparque Jorge Newbery, BA (SABE)",sub
10-Feb-00,Boeing 737-287,LV-JMX,Aerolineas Argentinas,0,Aeropuerto Internacional de Salta,min
21-Sep-99,Fairchild SA227-AC Metro III,LV-WTE,Baires Fly,0,Ushuaia,sub
31-Aug-99,Boeing 737-204C,LV-WRZ,LAPA - Líneas Aéreas Privadas Argentinas,63+2,"Buenos Aires-Jorge Newbery Airport, BA (AEP)",w/o
24-Feb-99,McDonnell Douglas MD-88,LV-VBY,Aerolineas Argentinas,0,"Buenos Aires-Jorge Newbery Airport, BA (AEP)",w/o
3-Feb-99,Rockwell Sabreliner 60,N121JE,JODA Partnership,0,within Argentina,min
23-Nov-98,Swearingen SA226-TC Metro II,LV-WDV,Kaikén Líneas Aéreas,0,"Río Gallegos Internacional Airport, SC (RGL)",sub
23-Nov-98,Boeing 747-436,G-BNLD,British Airways,0,"Buenos Aires/Ezeiza-Ministro Pistarini Airport, BA (EZE/SAEZ)",min
16-Jul-98,Rockwell Sabreliner 60,LV-WPO,Alas del Sur,3,"11,4 km from Córdoba-Pajas Blancas Airport, CD (COR)",w/o
16-Jul-98,McDonnell Douglas DC-9-41,LV-YOA,Dinar Líneas Aéreas,0,"Buenos Aires-Jorge Newbery Airport, BA (AEP)",min
25-Jun-98,British Aerospace 3212 Jetstream 32,LV-VEJ,Línea Aérea de Entre Ríos - LAER,0,"Buenos Aires-Jorge Newbery Airport, BA (AEP)",sub
3-Jun-98,Swearingen SA227-AC Metro III,LV-WIL,Air Tango,0,"Santa Fé-Sauce Viejo Airport, SF (SFN)",w/o
15-Nov-97,Swearingen SA226-TC Metro II,LV-WDU,Kaikén Líneas Aéreas,0,"Río Grande Airport, TF (RGA)",min
30-Oct-97,North American Rockwell Sabreliner 60,LV-WOF,Alas del Sur,0,Cordoba Airport,min
14-Oct-97,Boeing 737-200 ?,,,0,Over The Andes,non
12-Aug-97,de Havilland Canada DHC-6 Twin Otter 300,LV-LSI,TAPSA - Transportes Aéreos Petroleros SA,0,Palmar Largo De Formosa,sub
7-Feb-97,Dassault Falcon 20C,LV-WLH,Air Service,4,"36,4 km SW of Salta International Airport, SA (SLA)",w/o
6-Nov-96,McDonnell Douglas MD-11,N271WA,"Malaysia Airlines, lsf World Airways",0,"Buenos Aires/Ezeiza-Ministro Pistarini Airport, BA (EZE)",min
23-Oct-96,Boeing 707-372C,LV-LGP,Fuerza Aérea Argentina - FAA,2,"Buenos Aires/Ezeiza-Ministro Pistarini Airport, BA (EZE)",w/o
9-Aug-96,de Havilland Canada DHC-6 Twin Otter 200,LV-LNY,Transportes Aéreos Petroleros SA - TAPSA,0,"Auca Mahuida, NE",w/o
25-Jul-96,Dassault Falcon 20C,LV-WMM,Estornel Air Service,0,"Buenos Aires-Jorge Newbery Airport, BA (AEP)",min
15-May-96,Lockheed C-130H Hercules,TC-67,Fuerza Aérea Argentina - FAA,0,"Tandil Airport, BA (TDL)",w/o
12-Apr-96,Swearingen SA226-TC Metro II,LV-WNY,Alas del Sur,0,"Comodoro Rivadavia Airport, CB (CRD)",min
25-Jan-96,Swearingen SA227-AC Metro III,LV-AOR,Transportes Aéreos Neuquén - TAN,0,"Rincón de Los Sauces Airport, NE (RDS)",w/o
24-Jan-96,IAI 1123 Westwind,LV-WJU,Flymell,0,"Buenos Aires-Jorge Newbery Airport, BA (AEP)",min
8-Nov-95,Fokker F-27 Friendship 400M,TC-72,Lineas Aéreas del Estado - LADE,53,"30 km SE of Villa Dolores, CD",w/o
28-Aug-95,Learjet 24,LV-WMR,Medicorp,0,"Posadas Airport, MI (PSS)",w/o
9-Aug-95,CASA CN-235-100,LV-VHM,Inter Austral,1,"Sierras Grandes, CD",min
15-Jan-95,Swearingen SA226-TC Metro II,N622SP,City Air Cargo,1,"near Neuquén, NE",non
21-Dec-94,North American Sabreliner 40,N747E,Corporate Flight,0,"Buenos Aires-Jorge Newbery Airport, BA (AEP)",w/o
13-Nov-94,Fairchild F-27F,N990H,Aerosur Patagonia,0,"Córdoba-Pajas Blancas Airport, CD (COR)",sub
29-Sep-94,Rockwell 1121B Jet Commander,LV-WEN,Radeair,8,"2 km N of Córdoba-Pajas Blancas Airport, CD (COR)",w/o
